# The following lines are creating the tagging structure for Community Sites,,,,,,,,,,
Tag,parentTagID,,jcr:title,AEM,tag,aem,jcr:description,AEM Tags,cmd,createTag
Tag,parentTagID,aem:,jcr:title,Communities,tag,communities,jcr:description,AEM Communities,cmd,createTag
Tag,parentTagID,aem:,jcr:title,Sites,tag,sites,jcr:description,AEM Sites,cmd,createTag
Tag,parentTagID,aem:,jcr:title,Apps,tag,apps,jcr:description,AEM Apps,cmd,createTag
Tag,parentTagID,aem:,jcr:title,Commerce,tag,commerce,jcr:description,AEM Commerce,cmd,createTag
Tag,parentTagID,aem:,jcr:title,Assets,tag,assets,jcr:description,AEM Assets,cmd,createTag
Tag,parentTagID,aem:,jcr:title,Forms,tag,forms,jcr:description,AEM Forms,cmd,createTag
Tag,parentTagID,aem:,jcr:title,Managed Services,tag,managed,jcr:description,AEM Managed Services,cmd,createTag
Tag,parentTagID,aem:,jcr:title,Platform,tag,platform,jcr:description,AEM Platform,cmd,createTag
Tag,parentTagID,aem:,jcr:title,Screens,tag,screens,jcr:description,AEM Screens,cmd,createTag
